,TEAM_ID,STANDINGSDATE,TEAM,CONFERENCE
124006,1610612751,2014-04-02,Brooklyn,East
124007,1610612764,2014-04-02,Washington,East
124008,1610612766,2014-04-02,Charlotte,East
124009,1610612752,2014-04-02,New York,East
124010,1610612737,2014-04-02,Atlanta,East
124011,1610612739,2014-04-02,Cleveland,East
124012,1610612765,2014-04-02,Detroit,East
124013,1610612738,2014-04-02,Boston,East
124014,1610612753,2014-04-02,Orlando,East
124015,1610612755,2014-04-02,Philadelphia,East
124016,1610612749,2014-04-02,Milwaukee,East
